"Pickup State","Pickup City","Pickup Pincode",Seller,"Seller Code","Pickup Date","Shipping Date","Delivered Date","Order Id","AWB Number","Courier Partner","Payment Type","Ship Pincode","Ship State","Ship City",Zone,"Invoice Amount","Billing Weight (Kg)","Dimension(L * H * H)(CM)","Product Name","Current Status","Collectable Value","Freight Charges","RTO Charges","COD Charges","Total Charges","AWB Assigned Date","Last Sync","Final Charge","Number of NDR attempts","First NDR raised date","First NDR raised time","First NDR Action By","Reason for First NDR","Action date for First NDR","Action Status for First NDR","Remarks for First NDR","First Updated Address Line 1","First Updated Address Line 1","First Updated Mobile","Second NDR raised date","Second NDR raised time","Second NDR Action By","Reason for Second NDR","Action date for Second NDR","Action Status for Second NDR","Remarks for Second NDR","Second Updated Address Line 1","Second Updated Address Line 1","Second Updated Mobile","Third NDR raised date","Third NDR raised time","Third NDR Action By","Reason for Third NDR","Action date for Third NDR","Action Status for Third NDR","Remarks for Third NDR","Third Updated Address Line 1","Third Updated Address Line 1","Third Updated Mobile"
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:30:51",,MUSIC548,`TWI23830450154`,"SMC 2KG",prepaid,121003,HARYANA,FARIDABAD,A,5300,2500,"98 * 10 * 10","Music Instrument","In Transit",0,127.44,127.44,0,127,"2024-09-11 13:30:51","2024-09-12 20:30:43",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:28:13",,MUSIC547,`27233510029260`,"Delhivery 2KG",prepaid,756001,ORISSA,BALASORE,D,8600,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 13:28:13","2024-09-12 20:31:09",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:28:03",,MUSIC546,`27233510029256`,"Delhivery 2KG",prepaid,141001,PUNJAB,LUDHIANA,B,8400,2500,"98 * 10 * 10","Music Instrument","In Transit",0,151.28,151.28,0,151,"2024-09-11 13:28:03","2024-09-12 20:31:09",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:27:45",,MUSIC545,`27233510029245`,"Delhivery 2KG",prepaid,854318,BIHAR,FORBESGANJ,D,8400,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 13:27:45","2024-09-12 20:31:09",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:23:54",,MUSIC544,`27233510029234`,"Delhivery 2KG",prepaid,742103,"WEST BENGAL",KHAGRA,D,8300,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 13:23:54","2024-09-12 20:31:09",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:23:33",,MUSIC543,`TWI23830450153`,"SMC 2KG",prepaid,110024,DELHI,"NEW DELHI",A,8300,2500,"98 * 10 * 10","Music Instrument","In Transit",0,127.44,127.44,0,127,"2024-09-11 13:23:33","2024-09-12 20:31:08",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:23:14",,MUSIC542,`TWI23830450152`,"SMC 2KG",prepaid,411017,MAHARASHTRA,PUNE,C,8200,2500,"98 * 10 * 10","Music Instrument","In Transit",0,198.24,198.24,0,198,"2024-09-11 13:23:14","2024-09-12 20:31:07",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:22:50",,MUSIC541,`TWI23830450151`,"SMC 2KG",prepaid,380006,GUJARAT,AHMEDABAD,D,8100,2500,"98 * 10 * 10","Music Instrument","In Transit",0,238.95,238.95,0,239,"2024-09-11 13:22:50","2024-09-12 20:31:06",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:19:18",,MUSIC540,`27233510029223`,"Delhivery 2KG",prepaid,136118,HARYANA,KURUKSHETRA,B,8000,2500,"98 * 10 * 10","Music Instrument","In Transit",0,151.28,151.28,0,151,"2024-09-11 13:19:18","2024-09-12 20:31:02",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:18:37",,MUSIC539,`TWI23830450150`,"SMC 2KG",prepaid,211001,"UTTAR PRADESH",ALLAHABAD,D,7900,2500,"98 * 10 * 10","Music Instrument","In Transit",0,238.95,238.95,0,239,"2024-09-11 13:18:37","2024-09-12 20:30:41",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:17:54",,MUSIC538,`27233510029212`,"Delhivery 2KG",prepaid,249201,UTTARAKHAND,RISHIKESH,B,7800,2500,"98 * 10 * 10","Music Instrument","In Transit",0,151.28,151.28,0,151,"2024-09-11 13:17:54","2024-09-12 20:30:07",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:16:42",,MUSIC537,`27233510029201`,"Delhivery 2KG",prepaid,324007,RAJASTHAN,KOTA,D,7700,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 13:16:42","2024-09-12 20:31:05",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 13:14:51",,MUSIC536,`TWI23830450149`,"SMC 2KG",prepaid,248001,UTTARAKHAND,DEHRADUN,B,7600,2500,"98 * 10 * 10","Music Instrument","In Transit",0,155.76,155.76,0,156,"2024-09-11 13:14:51","2024-09-12 20:31:04",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 12:59:43",,MUSIC535,`TWI23830450148`,"SMC 2KG",prepaid,143001,PUNJAB,AMRITSAR,D,7500,2500,"98 * 10 * 10","Music Instrument","In Transit",0,238.95,238.95,0,239,"2024-09-11 12:59:43","2024-09-12 20:31:03",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 12:59:25",,MUSIC534,`TWI23830450147`,"SMC 2KG",prepaid,302016,RAJASTHAN,JAIPUR,B,7400,2500,"98 * 10 * 10","Music Instrument","In Transit",0,155.76,155.76,0,156,"2024-09-11 12:59:25","2024-09-12 20:31:01",1
